,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
462,2392,正崴,"1,551,858",922,"64,289,019",41.45,41.75,41.20,41.35, ,0.0,41.35,73,41.40,35,9.40
463,2393,億光,"3,596,351","2,037","139,469,239",38.35,39.15,38.30,38.90,+,0.65,38.85,4,38.90,10,17.84
464,2395,研華,"1,252,272","1,090","366,277,777",287.50,297.00,287.50,291.50,+,4.0,290.50,6,292.00,11,27.47
465,2397,友通,"46,161",30,"3,101,167",67.10,67.80,67.00,67.20,-,0.3,67.10,8,67.20,1,15.52
466,2399,映泰,"1,640,121",610,"18,505,610",11.15,11.40,11.15,11.25,+,0.1,11.25,29,11.30,18,28.12
467,2401,凌陽,"6,105,334","2,065","86,761,105",14.10,14.40,14.00,14.25,+,0.15,14.20,169,14.25,57,0.00
468,2402,毅嘉,"3,274,030",877,"55,379,550",16.60,17.20,16.55,16.80,+,0.2,16.80,13,16.90,12,37.33
469,2404,漢唐,"1,233,877",959,"247,311,777",201.50,203.00,199.00,200.00,-,1.5,200.00,14,200.50,11,11.88
470,2405,浩鑫,"465,020",206,"4,281,203",9.22,9.27,9.18,9.22, ,0.0,9.21,15,9.22,12,131.71
471,2406,國碩,"5,286,979","2,422","84,892,543",16.00,16.30,15.75,16.05,+,0.35,16.05,57,16.10,47,0.00
472,2408,南亞科,"27,334,003","13,079","1,537,335,535",55.40,56.80,55.00,56.80,+,1.6,56.70,42,56.80,236,20.21
473,2409,友達,"110,173,793","14,688","1,314,988,555",11.95,12.10,11.75,12.10,+,0.15,12.05,98,12.10,"4,617",0.00
474,2412,中華電,"4,295,875","2,349","466,797,875",108.50,109.00,108.50,109.00, ,0.0,108.50,655,109.00,"1,626",25.83
475,2413,環科,"780,574",328,"12,814,048",16.10,16.70,16.10,16.30,+,0.2,16.30,41,16.40,3,0.00
476,2414,精技,"101,351",68,"2,536,027",25.15,25.15,24.95,25.00,-,0.05,25.00,12,25.05,1,12.44
477,2415,錩新,"88,889",54,"1,396,404",15.75,15.85,15.60,15.80,+,0.1,15.75,11,15.80,1,0.00
